Tickers,Date,Yield
AAPL,2020/1/2,2.271530594
AAPL,2020/1/3,2.285054391
AAPL,2020/1/6,2.331783985
AAPL,2020/1/7,2.037556879
AAPL,2020/1/8,2.231119486
AAPL,2020/1/9,2.275662061
AAPL,2020/1/10,2.288287272
AAPL,2020/1/11,3.026020118
AAPL,2020/1/13,2.200421426
AAPL,2020/1/14,2.204695296
AAPL,2020/1/15,2.189120835
AAPL,2020/1/16,2.395805689
AAPL,2020/1/17,2.328767301
AAPL,2020/1/20,3.038116887
AAPL,2020/1/21,2.232552413
AAPL,2020/1/22,2.160541109
AAPL,2020/1/23,2.106650515
AAPL,2020/1/24,2.176838173
AAPL,2020/1/27,2.327689372
AAPL,2020/1/28,2.104745078
AAPL,2020/1/29,2.138306625
AAPL,2020/1/30,2.236376692
AAPL,2020/1/31,2.036528515
AAPL,2020/2/3,2.037823369
AAPL,2020/2/4,2.143226573
AAPL,2020/2/5,2.214693033
AAPL,2020/2/6,2.160635171
AAPL,2020/2/7,2.092973979
AAPL,2020/2/10,1.972449941
AAPL,2020/2/11,1.998043411
AAPL,2020/2/12,2.119556623
AAPL,2020/2/13,2.011453276
AAPL,2020/2/14,1.955622384
AAPL,2020/2/17,2.832067
AAPL,2020/2/18,1.824994829
AAPL,2020/2/19,2.135602635
AAPL,2020/2/20,1.885967197
AAPL,2020/2/21,2.117963279
AAPL,2020/2/22,2.813996
AAPL,2020/2/24,2.022465689
AAPL,2020/2/25,2.013097585
AAPL,2020/2/26,2.078864509
AAPL,2020/2/27,2.027383489
AAPL,2020/2/28,2.060805845
AAPL,2020/3/2,1.892937038
AAPL,2020/3/3,1.878885922
AAPL,2020/3/4,1.590078761
AAPL,2020/3/5,1.649552638
AAPL,2020/3/6,1.629229313
AAPL,2020/3/9,1.692789996
AAPL,2020/3/10,1.677057588
AAPL,2020/3/11,1.866331748
AAPL,2020/3/12,2.222321633
AAPL,2020/3/13,1.971106005
AAPL,2020/3/16,2.173148573
AAPL,2020/3/17,2.357267115
AAPL,2020/3/18,2.623968991
AAPL,2020/3/19,3.087673193
AAPL,2020/3/20,3.201946235
AAPL,2020/3/23,2.798313276
AAPL,2020/3/24,2.507281146
AAPL,2020/3/25,2.174408084
AAPL,2020/3/26,1.9998067
AAPL,2020/3/27,2.156413661
AAPL,2020/3/30,1.842649659
AAPL,2020/3/31,1.778910849
AAPL,2020/4/1,1.637081979
AAPL,2020/4/2,1.577786374
AAPL,2020/4/3,1.79474382
AAPL,2020/4/6,1.885381307
AAPL,2020/4/7,1.710800568
AAPL,2020/4/8,1.822971972
AAPL,2020/4/9,1.600939819
AAPL,2020/4/13,1.52478239
AAPL,2020/4/14,1.285777699
AAPL,2020/4/15,1.348297134
AAPL,2020/4/16,1.358725538
AAPL,2020/4/17,1.085423452
AAPL,2020/4/20,1.216720983
AAPL,2020/4/21,1.427157565
AAPL,2020/4/22,1.262668952
AAPL,2020/4/23,1.405961304
AAPL,2020/4/24,1.350191102
AAPL,2020/4/27,1.310323396
AAPL,2020/4/28,1.259901441
AAPL,2020/4/29,1.336443972
AAPL,2020/4/30,1.193059297
AAPL,2020/5/1,1.14372274
AAPL,2020/5/4,1.328930172
AAPL,2020/5/5,1.262332184
AAPL,2020/5/6,1.316313351
AAPL,2020/5/7,1.159041227
AAPL,2020/5/8,1.215966485
AAPL,2020/5/10,1.704607
AAPL,2020/5/11,1.552665631
AAPL,2020/5/12,1.674540426
AAPL,2020/5/13,1.57680314
AAPL,2020/5/14,1.210487868
AAPL,2020/5/15,1.467034357
AAPL,2020/5/16,2.640970854
AAPL,2020/5/18,1.652672755
AAPL,2020/5/19,1.163754149
AAPL,2020/5/20,1.45665379
AAPL,2020/5/21,1.257944147
AAPL,2020/5/22,1.301135094
AAPL,2020/5/26,1.131629614
AAPL,2020/5/27,0.964623213
AAPL,2020/5/28,0.996080912
AAPL,2020/5/29,1.221911095
AAPL,2020/6/1,1.362479526
AAPL,2020/6/2,1.299737352
AAPL,2020/6/3,1.255690824
AAPL,2020/6/4,1.226837771
AAPL,2020/6/5,1.637939532
AAPL,2020/6/8,1.435299608
AAPL,2020/6/9,1.226479314
AAPL,2020/6/10,1.339371066
AAPL,2020/6/11,1.265204438
AAPL,2020/6/12,1.24664997
AAPL,2020/6/15,1.246001498
AAPL,2020/6/16,1.187056201
AAPL,2020/6/17,0.968594322
AAPL,2020/6/18,1.215854081
AAPL,2020/6/19,1.491045999
AAPL,2020/6/22,1.248725286
AAPL,2020/6/23,1.343829215
AAPL,2020/6/24,1.321373626
AAPL,2020/6/25,1.019751748
AAPL,2020/6/26,1.361711893
AAPL,2020/6/29,1.054826514
AAPL,2020/6/30,1.117973282
AAPL,2020/7/1,1.10515942
AAPL,2020/7/2,1.133080844
AAPL,2020/7/6,1.446937551
AAPL,2020/7/7,1.037700218
AAPL,2020/7/8,1.170454307
AAPL,2020/7/9,1.212785506
AAPL,2020/7/10,1.005698789
AAPL,2020/7/12,1.063134
AAPL,2020/7/13,0.996554632
AAPL,2020/7/14,1.014878774
AAPL,2020/7/15,1.157655021
AAPL,2020/7/16,1.362535431
AAPL,2020/7/17,0.837153541
AAPL,2020/7/20,1.184968146
AAPL,2020/7/21,1.29095002
